Entry ID,Contest Name,Contest ID,Entry Fee,PG,SG,SF,PF,C,G,F,UTIL,,Instructions
4560953523,NBA $40K Sharpshooter [20 Entry Max],171691346,$3,,,,,,,,,,1. Column A lists all of your contest entries for this draftgroup
4560953524,NBA $40K Sharpshooter [20 Entry Max],171691346,$3,,,,,,,,,,2. Your current lineup is listed next to each entry (blank for reservations)
4560953525,NBA $40K Sharpshooter [20 Entry Max],171691346,$3,,,,,,,,,,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry
4560953526,NBA $40K Sharpshooter [20 Entry Max],171691346,$3,,,,,,,,,,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name
4560953527,NBA $40K Sharpshooter [20 Entry Max],171691346,$3,,,,,,,,,,5. For faster processing only include entries you are changing in the file you upload
4560953528,NBA $40K Sharpshooter [20 Entry Max],171691346,$3,,,,,,,,,,
4560953529,NBA $40K Sharpshooter [20 Entry Max],171691346,$3,,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,,,,,,,PF/C,Naz Reid (37001173),Naz Reid,37001173,PF/C/F/UTIL,4600,LAL@MIN 12/13/2024 08:00PM ET,MIN,25.28
,,,,,,,,,,,,,PF,Peyton Watson (37001170),Peyton Watson,37001170,PF/F/UTIL,4600,LAC@DEN 12/13/2024 09:00PM ET,DEN,18.5
,,,,,,,,,,,,,SF/PF,Justin Champagnie (37001198),Justin Champagnie,37001198,SF/PF/F/UTIL,4500,WAS@CLE 12/13/2024 07:00PM ET,WAS,20.05
,,,,,,,,,,,,,PF,Tidjane Salaun (37001204),Tidjane Salaun,37001204,PF/F/UTIL,4500,CHA@CHI 12/13/2024 08:00PM ET,CHA,13.16
,,,,,,,,,,,,,C,Zach Edey (37001202),Zach Edey,37001202,C/UTIL,4500,BKN@MEM 12/13/2024 08:00PM ET,MEM,24.30
,,,,,,,,,,,,,PF,Patrick Williams (37001207),Patrick Williams,37001207,PF/F/UTIL,4400,CHA@CHI 12/13/2024 08:00PM ET,CHI,22.82
,,,,,,,,,,,,,C,Moussa Diabate (37001213),Moussa Diabate,37001213,C/UTIL,4400,CHA@CHI 12/13/2024 08:00PM ET,CHA,16.88
,,,,,,,,,,,,,PF,Trendon Watford (37001210),Trendon Watford,37001210,PF/F/UTIL,4400,BKN@MEM 12/13/2024 08:00PM ET,BKN,16.46
,,,,,,,,,,,,,PG/SG,Andrew Nembhard (37001225),Andrew Nembhard,37001225,PG/SG/G/UTIL,4300,IND@PHI 12/13/2024 07:00PM ET,IND,19.32
,,,,,,,,,,,,,PG/SG,Tre Mann (37001221),Tre Mann,37001221,PG/SG/G/UTIL,4300,CHA@CHI 12/13/2024 08:00PM ET,CHA,23.88
,,,,,,,,,,,,,PF/C,Brandon Clarke (37001215),Brandon Clarke,37001215,PF/C/F/UTIL,4300,BKN@MEM 12/13/2024 08:00PM ET,MEM,17.28
,,,,,,,,,,,,,C,Jaxson Hayes (37001219),Jaxson Hayes,37001219,C/UTIL,4300,LAL@MIN 12/13/2024 08:00PM ET,LAL,15.27
,,,,,,,,,,,,,SF/PF,Georges Niang (37001229),Georges Niang,37001229,SF/PF/F/UTIL,4200,WAS@CLE 12/13/2024 07:00PM ET,CLE,16.54
,,,,,,,,,,,,,PG/SF,Ben Sheppard (37001240),Ben Sheppard,37001240,PG/SF/F/G/UTIL,4200,IND@PHI 12/13/2024 07:00PM ET,IND,12.44
,,,,,,,,,,,,,SF/PF,Jake LaRavia (37001236),Jake LaRavia,37001236,SF/PF/F/UTIL,4200,BKN@MEM 12/13/2024 08:00PM ET,MEM,22.65
,,,,,,,,,,,,,PG/SG,Shake Milton (37001245),Shake Milton,37001245,PG/SG/G/UTIL,4200,BKN@MEM 12/13/2024 08:00PM ET,BKN,11.95
,,,,,,,,,,,,,PG,Kevin Porter Jr. (37001233),Kevin Porter Jr.,37001233,PG/G/UTIL,4200,LAC@DEN 12/13/2024 09:00PM ET,LAC,19.52
,,,,,,,,,,,,,SF/PF,Isaac Okoro (37001249),Isaac Okoro,37001249,SF/PF/F/UTIL,4100,WAS@CLE 12/13/2024 07:00PM ET,CLE,14.34
,,,,,,,,,,,,,SF/PF,Caleb Martin (37001264),Caleb Martin,37001264,SF/PF/F/UTIL,4100,IND@PHI 12/13/2024 07:00PM ET,PHI,20.18
,,,,,,,,,,,,,PG/SG,Lonzo Ball (37001256),Lonzo Ball,37001256,PG/SG/G/UTIL,4100,CHA@CHI 12/13/2024 08:00PM ET,CHI,16.53
,,,,,,,,,,,,,SG/SF,Tyrese Martin (37001268),Tyrese Martin,37001268,SG/SF/F/G/UTIL,4100,BKN@MEM 12/13/2024 08:00PM ET,BKN,13.5
,,,,,,,,,,,,,SG/SF,Jaylen Wells (37001273),Jaylen Wells,37001273,SG/SF/F/G/UTIL,4100,BKN@MEM 12/13/2024 08:00PM ET,MEM,19.73
,,,,,,,,,,,,,PF/C,Jarred Vanderbilt (37001260),Jarred Vanderbilt,37001260,PF/C/F/UTIL,4100,LAL@MIN 12/13/2024 08:00PM ET,LAL,0
,,,,,,,,,,,,,PF,Derrick Jones Jr. (37001253),Derrick Jones Jr.,37001253,PF/F/UTIL,4100,LAC@DEN 12/13/2024 09:00PM ET,LAC,18.72
,,,,,,,,,,,,,C,Marvin Bagley III (37001304),Marvin Bagley III,37001304,C/UTIL,4000,WAS@CLE 12/13/2024 07:00PM ET,WAS,9.88
,,,,,,,,,,,,,SF/PF,Aaron Nesmith (37001290),Aaron Nesmith,37001290,SF/PF/F/UTIL,4000,IND@PHI 12/13/2024 07:00PM ET,IND,17.75
,,,,,,,,,,,,,SF,Talen Horton-Tucker (37001306),Talen Horton-Tucker,37001306,SF/F/UTIL,4000,CHA@CHI 12/13/2024 08:00PM ET,CHI,12.66
,,,,,,,,,,,,,PF,Vince Williams Jr. (37001294),Vince Williams Jr.,37001294,PF/F/UTIL,4000,BKN@MEM 12/13/2024 08:00PM ET,MEM,14.75
,,,,,,,,,,,,,PF,Bojan Bogdanovic (37001301),Bojan Bogdanovic,37001301,PF/F/UTIL,4000,BKN@MEM 12/13/2024 08:00PM ET,BKN,0
,,,,,,,,,,,,,SF,Jaden McDaniels (37001287),Jaden McDaniels,37001287,SF/F/UTIL,4000,LAL@MIN 12/13/2024 08:00PM ET,MIN,21.03
,,,,,,,,,,,,,SF,Max Christie (37001309),Max Christie,37001309,SF/F/UTIL,4000,LAL@MIN 12/13/2024 08:00PM ET,LAL,12.67
,,,,,,,,,,,,,SG/SF,Julian Strawther (37001278),Julian Strawther,37001278,SG/SF/F/G/UTIL,4000,LAC@DEN 12/13/2024 09:00PM ET,DEN,16.30
,,,,,,,,,,,,,PG/SG,Kris Dunn (37001283),Kris Dunn,37001283,PG/SG/G/UTIL,4000,LAC@DEN 12/13/2024 09:00PM ET,LAC,18.98
,,,,,,,,,,,,,SF/PF,Amir Coffey (37001297),Amir Coffey,37001297,SF/PF/F/UTIL,4000,LAC@DEN 12/13/2024 09:00PM ET,LAC,17.10
,,,,,,,,,,,,,SF/PF,Kyshawn George (37001312),Kyshawn George,37001312,SF/PF/F/UTIL,3900,WAS@CLE 12/13/2024 07:00PM ET,WAS,19.47
,,,,,,,,,,,,,PG,Ty Jerome (37001316),Ty Jerome,37001316,PG/G/UTIL,3900,WAS@CLE 12/13/2024 07:00PM ET,CLE,21.62
,,,,,,,,,,,,,PG/SG,Donte DiVincenzo (37001319),Donte DiVincenzo,37001319,PG/SG/G/UTIL,3900,LAL@MIN 12/13/2024 08:00PM ET,MIN,20.92
,,,,,,,,,,,,,PG/SG,Gabe Vincent (37001323),Gabe Vincent,37001323,PG/SG/G/UTIL,3900,LAL@MIN 12/13/2024 08:00PM ET,LAL,8.46
,,,,,,,,,,,,,SF/PF,Dean Wade (37001327),Dean Wade,37001327,SF/PF/F/UTIL,3800,WAS@CLE 12/13/2024 07:00PM ET,CLE,16.85
,,,,,,,,,,,,,SF/PF,Jarace Walker (37001336),Jarace Walker,37001336,SF/PF/F/UTIL,3800,IND@PHI 12/13/2024 07:00PM ET,IND,15.26
,,,,,,,,,,,,,PF,KJ Martin (37001342),KJ Martin,37001342,PF/F/UTIL,3800,IND@PHI 12/13/2024 07:00PM ET,PHI,13.49
,,,,,,,,,,,,,SG/SF,Nickeil Alexander-Walker (37001331),Nickeil Alexander-Walker,37001331,SG/SF/F/G/UTIL,3800,LAL@MIN 12/13/2024 08:00PM ET,MIN,19.47
,,,,,,,,,,,,,C,Christian Wood (37001340),Christian Wood,37001340,C/UTIL,3800,LAL@MIN 12/13/2024 08:00PM ET,LAL,0
,,,,,,,,,,,,,PG,Jared Butler (37001345),Jared Butler,37001345,PG/G/UTIL,3700,WAS@CLE 12/13/2024 07:00PM ET,WAS,11.60
,,,,,,,,,,,,,PF,DaQuan Jeffries (37001348),DaQuan Jeffries,37001348,PF/F/UTIL,3700,CHA@CHI 12/13/2024 08:00PM ET,CHA,19.08
,,,,,,,,,,,,,C,Day'Ron Sharpe (37001351),Day'Ron Sharpe,37001351,C/UTIL,3700,BKN@MEM 12/13/2024 08:00PM ET,BKN,13.58
,,,,,,,,,,,,,SG,Sam Merrill (37001358),Sam Merrill,37001358,SG/G/UTIL,3600,WAS@CLE 12/13/2024 07:00PM ET,CLE,14.16
,,,,,,,,,,,,,SF/PF,Matas Buzelis (37001361),Matas Buzelis,37001361,SF/PF/F/UTIL,3600,CHA@CHI 12/13/2024 08:00PM ET,CHI,11.24
,,,,,,,,,,,,,PG,KJ Simpson (37001365),KJ Simpson,37001365,PG/G/UTIL,3600,CHA@CHI 12/13/2024 08:00PM ET,CHA,11.03
,,,,,,,,,,,,,SF/PF,Cam Reddish (37001368),Cam Reddish,37001368,SF/PF/F/UTIL,3600,LAL@MIN 12/13/2024 08:00PM ET,LAL,10.03
,,,,,,,,,,,,,SG/SF,Jordan Miller (37001353),Jordan Miller,37001353,SG/SF/F/G/UTIL,3600,LAC@DEN 12/13/2024 09:00PM ET,LAC,13.66
,,,,,,,,,,,,,PG/SG,Kyle Lowry (37001374),Kyle Lowry,37001374,PG/SG/G/UTIL,3500,IND@PHI 12/13/2024 07:00PM ET,PHI,15.08
,,,,,,,,,,,,,C,Jalen Smith (37001372),Jalen Smith,37001372,C/UTIL,3500,CHA@CHI 12/13/2024 08:00PM ET,CHI,17.77
,,,,,,,,,,,,,SG,Cam Spencer (37001378),Cam Spencer,37001378,SG/G/UTIL,3500,BKN@MEM 12/13/2024 08:00PM ET,MEM,12.67
,,,,,,,,,,,,,C,Christian Koloko (37001381),Christian Koloko,37001381,C/UTIL,3500,LAL@MIN 12/13/2024 08:00PM ET,LAL,6.30
,,,,,,,,,,,,,SG/SF,Jaylon Tyson (37001386),Jaylon Tyson,37001386,SG/SF/F/G/UTIL,3400,WAS@CLE 12/13/2024 07:00PM ET,CLE,6.04
,,,,,,,,,,,,,C,Taj Gibson (37001391),Taj Gibson,37001391,C/UTIL,3400,CHA@CHI 12/13/2024 08:00PM ET,CHA,8.90
,,,,,,,,,,,,,SG/SF,John Konchar (37001393),John Konchar,37001393,SG/SF/F/G/UTIL,3400,BKN@MEM 12/13/2024 08:00PM ET,MEM,10.10
,,,,,,,,,,,,,PG,Bones Hyland (37001383),Bones Hyland,37001383,PG/G/UTIL,3400,LAC@DEN 12/13/2024 09:00PM ET,LAC,12.98
,,,,,,,,,,,,,SG/SF,Johnny Davis (37001410),Johnny Davis,37001410,SG/SF/F/G/UTIL,3300,WAS@CLE 12/13/2024 07:00PM ET,WAS,6.87
,,,,,,,,,,,,,SG/SF,Quenton Jackson (37001400),Quenton Jackson,37001400,SG/SF/F/G/UTIL,3300,IND@PHI 12/13/2024 07:00PM ET,IND,14.27
,,,,,,,,,,,,,C,Jay Huff (37001398),Jay Huff,37001398,C/UTIL,3300,BKN@MEM 12/13/2024 08:00PM ET,MEM,17.84
,,,,,,,,,,,,,SG/SF,Terance Mann (37001405),Terance Mann,37001405,SG/SF/F/G/UTIL,3300,LAC@DEN 12/13/2024 09:00PM ET,LAC,15.14
,,,,,,,,,,,,,PF/C,Anthony Gill (37001425),Anthony Gill,37001425,PF/C/F/UTIL,3200,WAS@CLE 12/13/2024 07:00PM ET,WAS,5.44
,,,,,,,,,,,,,SF,Ricky Council IV (37001415),Ricky Council IV,37001415,SF/F/UTIL,3200,IND@PHI 12/13/2024 07:00PM ET,PHI,8.44
,,,,,,,,,,,,,PF,Julian Phillips (37001418),Julian Phillips,37001418,PF/F/UTIL,3200,CHA@CHI 12/13/2024 08:00PM ET,CHI,9.75
,,,,,,,,,,,,,PG/SG,Jalen Pickett (37001421),Jalen Pickett,37001421,PG/SG/G/UTIL,3200,LAC@DEN 12/13/2024 09:00PM ET,DEN,5.81
,,,,,,,,,,,,,PG/SG,Isaiah Wong (37001432),Isaiah Wong,37001432,PG/SG/G/UTIL,3100,CHA@CHI 12/13/2024 08:00PM ET,CHA,16.62
,,,,,,,,,,,,,SF,Josh Minott (37001429),Josh Minott,37001429,SF/F/UTIL,3100,LAL@MIN 12/13/2024 08:00PM ET,MIN,5.68
,,,,,,,,,,,,,PF/C,Nicolas Batum (37001436),Nicolas Batum,37001436,PF/C/F/UTIL,3100,LAC@DEN 12/13/2024 09:00PM ET,LAC,11.02
,,,,,,,,,,,,,C,Tristan Vukcevic (37001446),Tristan Vukcevic,37001446,C/UTIL,3000,WAS@CLE 12/13/2024 07:00PM ET,WAS,0
