Entry ID,Contest Name,Contest ID,Entry Fee,PG,SG,SF,PF,C,G,F,UTIL,,Instructions
4577501735,NBA $50K Four-Point Play [$10K to 1st],172131764,$4,Coby White (37117010),Jordan Clarkson (37117090) (LOCKED),Amen Thompson (37117035) (LOCKED),Jalen Johnson (37116806) (LOCKED),Bobby Portis (37116985),Shai Gilgeous-Alexander (37116781),Jaime Jaquez Jr. (37117429) (LOCKED),Ryan Rollins (37117479),,1. Column A lists all of your contest entries for this draftgroup
4577501736,NBA $50K Four-Point Play [$10K to 1st],172131764,$4,Collin Sexton (37117064) (LOCKED),Jordan Clarkson (37117090) (LOCKED),Jayson Tatum (37116775) (LOCKED),Bobby Portis (37116985),Jonas Valanciunas (37117253),Ryan Rollins (37117479),Jalen Williams (37116847),Amen Thompson (37117035) (LOCKED),,2. Your current lineup is listed next to each entry (blank for reservations)
4577501737,NBA $50K Four-Point Play [$10K to 1st],172131764,$4,Ryan Rollins (37117479),Jordan Clarkson (37117090) (LOCKED),Isaiah Joe (37117556),Evan Mobley (37116872) (LOCKED),Alperen Sengun (37116820) (LOCKED),Shai Gilgeous-Alexander (37116781),Bobby Portis (37116985),Jonas Valanciunas (37117253),,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry
4577501738,NBA $50K Four-Point Play [$10K to 1st],172131764,$4,Jalen Brunson (37116842) (LOCKED),Khris Middleton (37117017),Lauri Markkanen (37116951) (LOCKED),Julius Randle (37116895) (LOCKED),Bobby Portis (37116985),Ryan Rollins (37117479),Larry Nance Jr. (37117242) (LOCKED),Ivica Zubac (37116899),,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name
4577501739,NBA $50K Four-Point Play [$10K to 1st],172131764,$4,Jalen Brunson (37116842) (LOCKED),Tyler Herro (37116885) (LOCKED),Amen Thompson (37117035) (LOCKED),Jaime Jaquez Jr. (37117429) (LOCKED),Zach Edey (37117176),Shai Gilgeous-Alexander (37116781),Bobby Portis (37116985),Ryan Rollins (37117479),,5. For faster processing only include entries you are changing in the file you upload
4577501740,NBA $50K Four-Point Play [$10K to 1st],172131764,$4,Collin Sexton (37117064) (LOCKED),Tyler Herro (37116885) (LOCKED),Jaime Jaquez Jr. (37117429) (LOCKED),Jaren Jackson Jr. (37116906),Walker Kessler (37116993) (LOCKED),Ryan Rollins (37117479),Bobby Portis (37116985),Shai Gilgeous-Alexander (37116781),,
4577501741,NBA $50K Four-Point Play [$10K to 1st],172131764,$4,Ryan Rollins (37117479),Collin Sexton (37117064) (LOCKED),Lauri Markkanen (37116951) (LOCKED),Jayson Tatum (37116775) (LOCKED),Goga Bitadze (37116981) (LOCKED),Malcolm Brogdon (37117137),Bobby Portis (37116985),Coby White (37117010),,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,,,,,,,PG,Damian Lillard (37116809),Damian Lillard,37116809,PG/G/UTIL,9000,MIL@CHI 12/23/2024 08:00PM ET,MIL,45.36
,,,,,,,,,,,,,C,Alperen Sengun (37116820) (LOCKED),Alperen Sengun,37116820,C/UTIL,8900,In Progress,HOU,44.69
,,,,,,,,,,,,,PG/SF,RJ Barrett (37116812) (LOCKED),RJ Barrett,37116812,PG/SF/F/G/UTIL,8900,TOR@NYK 12/23/2024 07:30PM ET,TOR,43.48
,,,,,,,,,,,,,SG/SF,Brandon Miller (37116822) (LOCKED),Brandon Miller,37116822,SG/SF/F/G/UTIL,8800,In Progress,CHA,37.54
,,,,,,,,,,,,,PG,Ja Morant (37116817),Ja Morant,37116817,PG/G/UTIL,8800,LAC@MEM 12/23/2024 08:00PM ET,MEM,42
,,,,,,,,,,,,,PG/SG,Anthony Edwards (37116827) (LOCKED),Anthony Edwards,37116827,PG/SG/G/UTIL,8700,MIN@ATL 12/23/2024 07:30PM ET,MIN,42.97
,,,,,,,,,,,,,PG,Tyrese Maxey (37116831) (LOCKED),Tyrese Maxey,37116831,PG/G/UTIL,8600,In Progress,PHI,42.26
,,,,,,,,,,,,,PG/SG,Kyrie Irving (37116834),Kyrie Irving,37116834,PG/SG/G/UTIL,8500,POR@DAL 12/23/2024 08:30PM ET,DAL,40.62
,,,,,,,,,,,,,PG/SG,Donovan Mitchell (37116838) (LOCKED),Donovan Mitchell,37116838,PG/SG/G/UTIL,8400,UTA@CLE 12/23/2024 07:00PM ET,CLE,40.60
,,,,,,,,,,,,,C,Nikola Vucevic (37116845),Nikola Vucevic,37116845,C/UTIL,8300,MIL@CHI 12/23/2024 08:00PM ET,CHI,42.03
,,,,,,,,,,,,,PG,Jalen Brunson (37116842) (LOCKED),Jalen Brunson,37116842,PG/G/UTIL,8300,TOR@NYK 12/23/2024 07:30PM ET,NYK,42.22
,,,,,,,,,,,,,SF/PF,Paul George (37116852) (LOCKED),Paul George,37116852,SF/PF/F/UTIL,8200,In Progress,PHI,35.08
,,,,,,,,,,,,,C,Bam Adebayo (37116850) (LOCKED),Bam Adebayo,37116850,C/UTIL,8100,BKN@MIA 12/23/2024 07:30PM ET,MIA,40.92
,,,,,,,,,,,,,PF,Jalen Williams (37116847),Jalen Williams,37116847,PF/F/UTIL,8100,WAS@OKC 12/23/2024 08:00PM ET,OKC,41.70
,,,,,,,,,,,,,SF/PF,Jimmy Butler (37116865) (LOCKED),Jimmy Butler,37116865,SF/PF/F/UTIL,8000,BKN@MIA 12/23/2024 07:30PM ET,MIA,36.11
,,,,,,,,,,,,,SG/SF,Jaylen Brown (37116856) (LOCKED),Jaylen Brown,37116856,SG/SF/F/G/UTIL,8000,In Progress,BOS,40.85
,,,,,,,,,,,,,PF/C,Kawhi Leonard (37116861),Kawhi Leonard,37116861,PF/C/F/UTIL,7900,LAC@MEM 12/23/2024 08:00PM ET,LAC,0
,,,,,,,,,,,,,PF,Chet Holmgren (37116869),Chet Holmgren,37116869,PF/F/UTIL,7800,WAS@OKC 12/23/2024 08:00PM ET,OKC,37.22
,,,,,,,,,,,,,PF/C,Evan Mobley (37116872) (LOCKED),Evan Mobley,37116872,PF/C/F/UTIL,7600,UTA@CLE 12/23/2024 07:00PM ET,CLE,38.92
,,,,,,,,,,,,,PG,Jalen Suggs (37116876) (LOCKED),Jalen Suggs,37116876,PG/G/UTIL,7600,In Progress,ORL,31.97
,,,,,,,,,,,,,C,Kristaps Porzingis (37116883) (LOCKED),Kristaps Porzingis,37116883,C/UTIL,7500,In Progress,BOS,36.39
,,,,,,,,,,,,,PG/SG,Jordan Poole (37116879),Jordan Poole,37116879,PG/SG/G/UTIL,7500,WAS@OKC 12/23/2024 08:00PM ET,WAS,35.48
,,,,,,,,,,,,,PG/SG,Tyler Herro (37116885) (LOCKED),Tyler Herro,37116885,PG/SG/G/UTIL,7400,BKN@MIA 12/23/2024 07:30PM ET,MIA,41.14
,,,,,,,,,,,,,SF/PF,Cameron Johnson (37116891) (LOCKED),Cameron Johnson,37116891,SF/PF/F/UTIL,7400,BKN@MIA 12/23/2024 07:30PM ET,BKN,33.14
,,,,,,,,,,,,,C,Jakob Poeltl (37116889) (LOCKED),Jakob Poeltl,37116889,C/UTIL,7400,TOR@NYK 12/23/2024 07:30PM ET,TOR,37.86
,,,,,,,,,,,,,PF/C,Julius Randle (37116895) (LOCKED),Julius Randle,37116895,PF/C/F/UTIL,7300,MIN@ATL 12/23/2024 07:30PM ET,MIN,35.99
,,,,,,,,,,,,,SG/SF,Zach LaVine (37116901),Zach LaVine,37116901,SG/SF/F/G/UTIL,7300,MIL@CHI 12/23/2024 08:00PM ET,CHI,36.29
,,,,,,,,,,,,,C,Ivica Zubac (37116899),Ivica Zubac,37116899,C/UTIL,7300,LAC@MEM 12/23/2024 08:00PM ET,LAC,37.56
,,,,,,,,,,,,,PF/C,Jaren Jackson Jr. (37116906),Jaren Jackson Jr.,37116906,PF/C/F/UTIL,7200,LAC@MEM 12/23/2024 08:00PM ET,MEM,37.16
,,,,,,,,,,,,,PG,Darius Garland (37116917) (LOCKED),Darius Garland,37116917,PG/G/UTIL,7100,UTA@CLE 12/23/2024 07:00PM ET,CLE,36
,,,,,,,,,,,,,SG/SF,Desmond Bane (37116912),Desmond Bane,37116912,SG/SF/F/G/UTIL,7100,LAC@MEM 12/23/2024 08:00PM ET,MEM,32.33
,,,,,,,,,,,,,C,Isaiah Hartenstein (37116910),Isaiah Hartenstein,37116910,C/UTIL,7100,WAS@OKC 12/23/2024 08:00PM ET,OKC,38.48
,,,,,,,,,,,,,SG/SF,Norman Powell (37116924),Norman Powell,37116924,SG/SF/F/G/UTIL,7000,LAC@MEM 12/23/2024 08:00PM ET,LAC,35.58
,,,,,,,,,,,,,SF/PF,Josh Hart (37116920) (LOCKED),Josh Hart,37116920,SF/PF/F/UTIL,7000,TOR@NYK 12/23/2024 07:30PM ET,NYK,36.75
,,,,,,,,,,,,,PG,Fred VanVleet (37116934) (LOCKED),Fred VanVleet,37116934,PG/G/UTIL,6900,In Progress,HOU,33.74
,,,,,,,,,,,,,PF/C,John Collins (37116937) (LOCKED),John Collins,37116937,PF/C/F/UTIL,6900,UTA@CLE 12/23/2024 07:00PM ET,UTA,35.52
,,,,,,,,,,,,,SG/SF,Cam Thomas (37116929) (LOCKED),Cam Thomas,37116929,SG/SF/F/G/UTIL,6900,BKN@MIA 12/23/2024 07:30PM ET,BKN,35.34
,,,,,,,,,,,,,PF,Miles Bridges (37116944) (LOCKED),Miles Bridges,37116944,PF/F/UTIL,6800,In Progress,CHA,31.53
,,,,,,,,,,,,,PG,Josh Giddey (37116941),Josh Giddey,37116941,PG/G/UTIL,6800,MIL@CHI 12/23/2024 08:00PM ET,CHI,32.69
,,,,,,,,,,,,,PG/SG,Dyson Daniels (37116947) (LOCKED),Dyson Daniels,37116947,PG/SG/G/UTIL,6700,MIN@ATL 12/23/2024 07:30PM ET,ATL,31.98
,,,,,,,,,,,,,SF/PF,Lauri Markkanen (37116951) (LOCKED),Lauri Markkanen,37116951,SF/PF/F/UTIL,6700,UTA@CLE 12/23/2024 07:00PM ET,UTA,32.97
,,,,,,,,,,,,,C,Rudy Gobert (37116959) (LOCKED),Rudy Gobert,37116959,C/UTIL,6600,MIN@ATL 12/23/2024 07:30PM ET,MIN,31.14
,,,,,,,,,,,,,PF,PJ Washington (37116961),PJ Washington,37116961,PF/F/UTIL,6600,POR@DAL 12/23/2024 08:30PM ET,DAL,31.48
,,,,,,,,,,,,,PG/SG,Derrick White (37116955) (LOCKED),Derrick White,37116955,PG/SG/G/UTIL,6600,In Progress,BOS,35.49
,,,,,,,,,,,,,PG,Anfernee Simons (37116964),Anfernee Simons,37116964,PG/G/UTIL,6500,POR@DAL 12/23/2024 08:30PM ET,POR,30.64
,,,,,,,,,,,,,C,Deandre Ayton (37116970),Deandre Ayton,37116970,C/UTIL,6500,POR@DAL 12/23/2024 08:30PM ET,POR,32.59
,,,,,,,,,,,,,PF,Kyle Kuzma (37116967),Kyle Kuzma,37116967,PF/F/UTIL,6500,WAS@OKC 12/23/2024 08:00PM ET,WAS,26.60
,,,,,,,,,,,,,SG,Jalen Green (37116975) (LOCKED),Jalen Green,37116975,SG/G/UTIL,6400,In Progress,HOU,32.10
,,,,,,,,,,,,,C,Goga Bitadze (37116981) (LOCKED),Goga Bitadze,37116981,C/UTIL,6400,In Progress,ORL,26.95
,,,,,,,,,,,,,PF,Jeremy Sochan (37116978) (LOCKED),Jeremy Sochan,37116978,PF/F/UTIL,6400,In Progress,SAS,33.02
,,,,,,,,,,,,,PG,Immanuel Quickley (37116972) (LOCKED),Immanuel Quickley,37116972,PG/G/UTIL,6400,TOR@NYK 12/23/2024 07:30PM ET,TOR,25.5
,,,,,,,,,,,,,PF/C,Bobby Portis (37116985),Bobby Portis,37116985,PF/C/F/UTIL,6300,MIL@CHI 12/23/2024 08:00PM ET,MIL,28.61
,,,,,,,,,,,,,PG/SG,Ayo Dosunmu (37116989),Ayo Dosunmu,37116989,PG/SG/G/UTIL,6300,MIL@CHI 12/23/2024 08:00PM ET,CHI,27.38
,,,,,,,,,,,,,C,Jarrett Allen (37116983) (LOCKED),Jarrett Allen,37116983,C/UTIL,6200,UTA@CLE 12/23/2024 07:00PM ET,CLE,32.55
,,,,,,,,,,,,,SF,Bilal Coulibaly (37117000),Bilal Coulibaly,37117000,SF/F/UTIL,6200,WAS@OKC 12/23/2024 08:00PM ET,WAS,29.57
,,,,,,,,,,,,,SG/SF,Mikal Bridges (37116995) (LOCKED),Mikal Bridges,37116995,SG/SF/F/G/UTIL,6200,TOR@NYK 12/23/2024 07:30PM ET,NYK,30.24
,,,,,,,,,,,,,PG/SG,Coby White (37117010),Coby White,37117010,PG/SG/G/UTIL,6100,MIL@CHI 12/23/2024 08:00PM ET,CHI,31.74
,,,,,,,,,,,,,C,Walker Kessler (37116993) (LOCKED),Walker Kessler,37116993,C/UTIL,6100,UTA@CLE 12/23/2024 07:00PM ET,UTA,32.80
,,,,,,,,,,,,,SG,Kelly Oubre Jr. (37117007) (LOCKED),Kelly Oubre Jr.,37117007,SG/G/UTIL,6100,In Progress,PHI,26.36
,,,,,,,,,,,,,SF/PF,OG Anunoby (37117003) (LOCKED),OG Anunoby,37117003,SF/PF/F/UTIL,6100,TOR@NYK 12/23/2024 07:30PM ET,NYK,31.78
,,,,,,,,,,,,,SF/PF,De'Andre Hunter (37117022) (LOCKED),De'Andre Hunter,37117022,SF/PF/F/UTIL,6000,MIN@ATL 12/23/2024 07:30PM ET,ATL,29.33
,,,,,,,,,,,,,SG/SF,Khris Middleton (37117017),Khris Middleton,37117017,SG/SF/F/G/UTIL,6000,MIL@CHI 12/23/2024 08:00PM ET,MIL,25.79
,,,,,,,,,,,,,PG,Keyonte George (37117014) (LOCKED),Keyonte George,37117014,PG/G/UTIL,6000,UTA@CLE 12/23/2024 07:00PM ET,UTA,30.58
,,,,,,,,,,,,,PG,Chris Paul (37117032) (LOCKED),Chris Paul,37117032,PG/G/UTIL,6000,In Progress,SAS,31.10
,,,,,,,,,,,,,PG,Ben Simmons (37117029) (LOCKED),Ben Simmons,37117029,PG/G/UTIL,5900,BKN@MIA 12/23/2024 07:30PM ET,BKN,24.47
,,,,,,,,,,,,,SG,Gradey Dick (37117026) (LOCKED),Gradey Dick,37117026,SG/G/UTIL,5900,TOR@NYK 12/23/2024 07:30PM ET,TOR,28.30
,,,,,,,,,,,,,SG/SF,Amen Thompson (37117035) (LOCKED),Amen Thompson,37117035,SG/SF/F/G/UTIL,5800,In Progress,HOU,26.98
,,,,,,,,,,,,,C,Dereck Lively II (37117040),Dereck Lively II,37117040,C/UTIL,5800,POR@DAL 12/23/2024 08:30PM ET,DAL,26.78
,,,,,,,,,,,,,PG/SG,Payton Pritchard (37117042) (LOCKED),Payton Pritchard,37117042,PG/SG/G/UTIL,5800,In Progress,BOS,29.18
,,,,,,,,,,,,,PG/SG,Shaedon Sharpe (37117046),Shaedon Sharpe,37117046,PG/SG/G/UTIL,5700,POR@DAL 12/23/2024 08:30PM ET,POR,27.66
,,,,,,,,,,,,,PF,Jerami Grant (37117052),Jerami Grant,37117052,PF/F/UTIL,5700,POR@DAL 12/23/2024 08:30PM ET,POR,27.98
,,,,,,,,,,,,,C,Nic Claxton (37117050) (LOCKED),Nic Claxton,37117050,C/UTIL,5700,BKN@MIA 12/23/2024 07:30PM ET,BKN,25.42
,,,,,,,,,,,,,SG/SF,Klay Thompson (37117070),Klay Thompson,37117070,SG/SF/F/G/UTIL,5600,POR@DAL 12/23/2024 08:30PM ET,DAL,24.86
,,,,,,,,,,,,,PG,Scotty Pippen Jr. (37117055),Scotty Pippen Jr.,37117055,PG/G/UTIL,5600,LAC@MEM 12/23/2024 08:00PM ET,MEM,25.47
,,,,,,,,,,,,,C,Andre Drummond (37117058) (LOCKED),Andre Drummond,37117058,C/UTIL,5600,In Progress,PHI,21
,,,,,,,,,,,,,PF/C,Jabari Smith Jr. (37117060) (LOCKED),Jabari Smith Jr.,37117060,PF/C/F/UTIL,5500,In Progress,HOU,25.40
,,,,,,,,,,,,,C,Brook Lopez (37117068),Brook Lopez,37117068,C/UTIL,5500,MIL@CHI 12/23/2024 08:00PM ET,MIL,26.15
,,,,,,,,,,,,,PG/SG,Collin Sexton (37117064) (LOCKED),Collin Sexton,37117064,PG/SG/G/UTIL,5500,UTA@CLE 12/23/2024 07:00PM ET,UTA,26.49
,,,,,,,,,,,,,SF/PF,Justin Champagnie (37117086),Justin Champagnie,37117086,SF/PF/F/UTIL,5500,WAS@OKC 12/23/2024 08:00PM ET,WAS,24.25
,,,,,,,,,,,,,C,Clint Capela (37117079) (LOCKED),Clint Capela,37117079,C/UTIL,5400,MIN@ATL 12/23/2024 07:30PM ET,ATL,26.70
,,,,,,,,,,,,,SG/SF,Devin Vassell (37117081) (LOCKED),Devin Vassell,37117081,SG/SF/F/G/UTIL,5400,In Progress,SAS,25.98
,,,,,,,,,,,,,PF/C,Alexandre Sarr (37117075),Alexandre Sarr,37117075,PF/C/F/UTIL,5400,WAS@OKC 12/23/2024 08:00PM ET,WAS,27.49
,,,,,,,,,,,,,SG,Jordan Clarkson (37117090) (LOCKED),Jordan Clarkson,37117090,SG/G/UTIL,5300,UTA@CLE 12/23/2024 07:00PM ET,UTA,27.21
,,,,,,,,,,,,,PG/SG,Caris LeVert (37117102) (LOCKED),Caris LeVert,37117102,PG/SG/G/UTIL,5300,UTA@CLE 12/23/2024 07:00PM ET,CLE,24.87
,,,,,,,,,,,,,SF/PF,Deni Avdija (37117095),Deni Avdija,37117095,SF/PF/F/UTIL,5300,POR@DAL 12/23/2024 08:30PM ET,POR,27.21
,,,,,,,,,,,,,PF,Santi Aldama (37117099),Santi Aldama,37117099,PF/F/UTIL,5300,LAC@MEM 12/23/2024 08:00PM ET,MEM,30.79
,,,,,,,,,,,,,C,Kelly Olynyk (37117093) (LOCKED),Kelly Olynyk,37117093,C/UTIL,5300,TOR@NYK 12/23/2024 07:30PM ET,TOR,19.83
,,,,,,,,,,,,,C,Nick Richards (37117109) (LOCKED),Nick Richards,37117109,C/UTIL,5200,In Progress,CHA,27.79
,,,,,,,,,,,,,SG/SF,Cody Martin (37117111) (LOCKED),Cody Martin,37117111,SG/SF/F/G/UTIL,5200,In Progress,CHA,21.80
,,,,,,,,,,,,,PG/SG,Carlton Carrington (37117116),Carlton Carrington,37117116,PG/SG/G/UTIL,5200,WAS@OKC 12/23/2024 08:00PM ET,WAS,22.17
,,,,,,,,,,,,,PF,Ochai Agbaji (37117106) (LOCKED),Ochai Agbaji,37117106,PF/F/UTIL,5200,TOR@NYK 12/23/2024 07:30PM ET,TOR,23.32
,,,,,,,,,,,,,SG/SF,Ziaire Williams (37117123) (LOCKED),Ziaire Williams,37117123,SG/SF/F/G/UTIL,5100,BKN@MIA 12/23/2024 07:30PM ET,BKN,18.43
,,,,,,,,,,,,,PG,Jrue Holiday (37117128) (LOCKED),Jrue Holiday,37117128,PG/G/UTIL,5100,In Progress,BOS,25.56
,,,,,,,,,,,,,SF,Saddiq Bey (37117120),Saddiq Bey,37117120,SF/F/UTIL,5100,WAS@OKC 12/23/2024 08:00PM ET,WAS,0
,,,,,,,,,,,,,SF,Dillon Brooks (37117134) (LOCKED),Dillon Brooks,37117134,SF/F/UTIL,5000,In Progress,HOU,23.56
,,,,,,,,,,,,,PG,Spencer Dinwiddie (37117131),Spencer Dinwiddie,37117131,PG/G/UTIL,5000,POR@DAL 12/23/2024 08:30PM ET,DAL,18.40
,,,,,,,,,,,,,PG/SG,Malcolm Brogdon (37117137),Malcolm Brogdon,37117137,PG/SG/G/UTIL,5000,WAS@OKC 12/23/2024 08:00PM ET,WAS,24.98
,,,,,,,,,,,,,PF/C,Jonathan Mogbo (37117146) (LOCKED),Jonathan Mogbo,37117146,PF/C/F/UTIL,5000,TOR@NYK 12/23/2024 07:30PM ET,TOR,16.16
,,,,,,,,,,,,,C,Mark Williams (37117154) (LOCKED),Mark Williams,37117154,C/UTIL,4900,In Progress,CHA,21.54
,,,,,,,,,,,,,SG/SF,Max Strus (37117141) (LOCKED),Max Strus,37117141,SG/SF/F/G/UTIL,4900,UTA@CLE 12/23/2024 07:00PM ET,CLE,13.5
,,,,,,,,,,,,,SG/SF,Toumani Camara (37117159),Toumani Camara,37117159,SG/SF/F/G/UTIL,4900,POR@DAL 12/23/2024 08:30PM ET,POR,22.38
,,,,,,,,,,,,,SF/PF,Naji Marshall (37117164),Naji Marshall,37117164,SF/PF/F/UTIL,4900,POR@DAL 12/23/2024 08:30PM ET,DAL,21.34
,,,,,,,,,,,,,PG/SG,Terry Rozier (37117150) (LOCKED),Terry Rozier,37117150,PG/SG/G/UTIL,4900,BKN@MIA 12/23/2024 07:30PM ET,MIA,23.64
,,,,,,,,,,,,,PF,Dorian Finney-Smith (37117156) (LOCKED),Dorian Finney-Smith,37117156,PF/F/UTIL,4900,BKN@MIA 12/23/2024 07:30PM ET,BKN,22.63
,,,,,,,,,,,,,SG/SF,Bogdan Bogdanovic (37117178) (LOCKED),Bogdan Bogdanovic,37117178,SG/SF/F/G/UTIL,4800,MIN@ATL 12/23/2024 07:30PM ET,ATL,21
,,,,,,,,,,,,,SF/PF,Tari Eason (37117172) (LOCKED),Tari Eason,37117172,SF/PF/F/UTIL,4800,In Progress,HOU,26.70
,,,,,,,,,,,,,C,Zach Edey (37117176),Zach Edey,37117176,C/UTIL,4800,LAC@MEM 12/23/2024 08:00PM ET,MEM,24.57
,,,,,,,,,,,,,PG/SG,Anthony Black (37117168) (LOCKED),Anthony Black,37117168,PG/SG/G/UTIL,4800,In Progress,ORL,20.1
,,,,,,,,,,,,,PF/C,Wendell Carter Jr. (37117183) (LOCKED),Wendell Carter Jr.,37117183,PF/C/F/UTIL,4800,In Progress,ORL,22.88
,,,,,,,,,,,,,PG,Mike Conley (37117206) (LOCKED),Mike Conley,37117206,PG/G/UTIL,4700,MIN@ATL 12/23/2024 07:30PM ET,MIN,22.47
,,,,,,,,,,,,,SF/PF,Josh Green (37117187) (LOCKED),Josh Green,37117187,SF/PF/F/UTIL,4700,In Progress,CHA,15.82
,,,,,,,,,,,,,PG/SG,Cole Anthony (37117196) (LOCKED),Cole Anthony,37117196,PG/SG/G/UTIL,4700,In Progress,ORL,13.20
