DK Name,Position,Team,Minutes,Salary,DK,Own%,StdDev,FieldFpts,Predicted_Minutes
Ulrich Chomche,C,TOR,0,3000,0.0,0.03,0.0,0.0,0.0
Jamison Battle,SF,TOR,0,3000,0.0,0.03,0.0,0.0,0.0
AJ Lawson,PG,TOR,0,3000,0.0,0.03,0.0,0.0,0.0
Ja'Kobe Walter,SG/SF,TOR,14,3000,10.5,0.0,5.56,10.83,14.2
Brandon Miller,PF,CHA,0,3000,0.0,0.03,0.0,0.0,0.0
Tidjane Salaun,PF,CHA,0,3000,0.0,0.03,0.0,0.0,0.0
Seth Curry,SG,CHA,11,3000,8.2,0.0,4.63,9.31,10.1
Isaiah Wong,PG/SG,CHA,10,3000,9.04,0.0,5.56,7.35,10.8
Taj Gibson,C,CHA,20,3000,15.31,0.0,6.71,13.21,19.2
KJ Simpson,PG,CHA,0,3000,0.0,0.03,0.0,0.0,0.0
Moussa Diabate,C,CHA,28,3000,26.1,42.12,9.05,26.11,28.8
DaQuan Jeffries,PF,CHA,10,3000,7.8,0.0,4.51,8.15,8.3
Grant Williams,C,CHA,0,3000,0.0,0.03,0.0,0.0,0.0
Keion Brooks Jr.,SF/PF,NOP,0,3000,0.0,0.03,0.0,0.0,0.0
Antonio Reeves,SG/SF,NOP,0,3000,0.0,0.03,0.0,0.0,0.0
Karlo Matkovic,C,NOP,0,3000,0.0,0.03,0.0,0.0,0.0
Jamal Cain,SF,NOP,0,3000,0.0,0.03,0.0,0.0,0.0
Brandon Boston Jr.,SG/SF,NOP,0,3000,0.0,0.03,0.0,0.0,0.0
Herbert Jones,C,NOP,0,3000,0.0,0.03,0.0,0.0,0.0
Jeff Dowtin,PG,PHI,0,3000,0.0,0.03,0.0,0.0,0.0
Pete Nance,C,PHI,0,3000,0.0,0.03,0.0,0.0,0.0
Reggie Jackson,PG,PHI,0,3000,0.0,0.03,0.0,0.0,0.0
E.J. Liddell,C,CHI,0,3000,0.0,0.03,0.0,0.0,0.0
Dalen Terry,SF,CHI,12,3000,8.91,0.0,4.88,8.25,11.2
Emanuel Miller,PF,CHI,0,3000,0.0,0.03,0.0,0.0,0.0
Adama Sanogo,C,CHI,0,3000,0.0,0.03,0.0,0.0,0.0
Jevon Carter,PG,CHI,0,3000,0.0,0.03,0.0,0.0,0.0
Chris Duarte,SG/SF,CHI,0,3000,0.0,0.03,0.0,0.0,0.0
Torrey Craig,PF,CHI,0,3000,0.0,0.03,0.0,0.0,0.0
Kyle Lowry,PG/SG,PHI,16,3000,13.68,0.42,6.9,13.68,16.7
KJ Martin,SF,PHI,0,3000,0.0,0.03,0.0,0.0,0.0
Jared McCain,PG,PHI,0,3000,0.0,0.03,0.0,0.0,0.0
Tristan Thompson,C,CLE,0,3000,0.0,0.03,0.0,0.0,0.0
Craig Porter Jr.,PG,CLE,0,3000,0.0,0.03,0.0,0.0,0.0
JT Thor,SF/PF,CLE,0,3000,0.0,0.03,0.0,0.0,0.0
Jaylon Tyson,SG/SF,CLE,7,3000,5.31,0.0,3.35,6.57,0.0
Emoni Bates,PG,CLE,0,3000,0.0,0.03,0.0,0.0,0.0
Isaac Okoro,SF/PF,CLE,0,3000,0.0,0.03,0.0,0.0,0.0
Luke Travers,SF,CLE,0,3000,0.0,0.03,0.0,0.0,0.0
Aaron Holiday,PG,HOU,11,3000,7.97,0.0,4.52,6.24,9.5
Nate Williams,PG/SF,HOU,0,3000,0.0,0.03,0.0,0.0,0.0
Reed Sheppard,PG/SG,HOU,0,3000,0.0,0.03,0.0,0.0,0.0
Jack McVeigh,SG,HOU,0,3000,0.0,0.03,0.0,0.0,0.0
Jeff Green,PF/C,HOU,0,3000,0.0,0.03,0.0,0.0,0.0
Jae'Sean Tate,SF/PF,HOU,0,3000,0.0,0.03,0.0,0.0,0.0
Jock Landale,C,HOU,0,3000,0.0,0.03,0.0,0.0,0.0
N'Faly Dante,C,HOU,0,3000,0.0,0.03,0.0,0.0,0.0
John Konchar,SG/SF,MEM,15,3000,11.93,0.0,5.93,11.94,14.9
Jay Huff,C,MEM,3,3000,3.17,0.0,2.26,4.36,0.0
Zyon Pullin,PG/SG,MEM,0,3000,0.0,0.03,0.0,0.0,0.0
Yuki Kawamura,PG,MEM,0,3000,0.0,0.03,0.0,0.0,0.0
Gregory Jackson,SF/PF,MEM,15,3000,15.22,2.99,8.44,15.22,16.1
Cam Spencer,PG,MEM,0,3000,0.0,0.03,0.0,0.0,0.0
Vince Williams Jr.,PF,MEM,0,3000,0.0,0.03,0.0,0.0,0.0
Patty Mills,PG,UTA,0,3000,0.0,0.03,0.0,0.0,0.0
Oscar Tshiebwe,C,UTA,0,3000,0.0,0.03,0.0,0.0,0.0
Taylor Hendricks,SF,UTA,0,3000,0.0,0.03,0.0,0.0,0.0
Quinten Post,C,GSW,17,3000,16.88,0.79,8.64,13.79,17.0
Bronny James,PG,LAL,0,3000,0.0,0.03,0.0,0.0,0.0
Pat Spencer,PG,GSW,0,3000,0.0,0.03,0.0,0.0,0.0
Lindy Waters III,SG/SF,GSW,0,3000,0.0,0.03,0.0,0.0,0.0
Trey Jemison,C,LAL,0,3000,0.0,0.03,0.0,0.0,0.0
Christian Koloko,C,LAL,0,3000,0.0,0.03,0.0,0.0,0.0
Armel Traore,SF/PF,LAL,0,3000,0.0,0.03,0.0,0.0,0.0
Shake Milton,PG/SG,LAL,0,3000,0.0,0.03,0.0,0.0,0.0
Cam Reddish,SF,LAL,0,3000,0.0,0.03,0.0,0.0,0.0
Jalen Hood-Schifino,PG,LAL,0,3000,0.0,0.03,0.0,0.0,0.0
Mac McClung,PG,ORL,0,3000,0.0,0.03,0.0,0.0,0.0
Cory Joseph,PG,ORL,0,3000,0.0,0.03,0.0,0.0,0.0
Jett Howard,SF/PF,ORL,10,3000,7.04,0.0,4.11,5.8,0.0
Gary Harris,SG/SF,ORL,0,3000,0.0,0.03,0.0,0.0,0.0
Moritz Wagner,C,ORL,0,3000,0.0,0.03,0.0,0.0,0.0
Tolu Smith,C,DET,0,3000,0.0,0.03,0.0,0.0,0.0
Daniss Jenkins,PG,DET,0,3000,0.0,0.03,0.0,0.0,0.0
Ron Harper Jr.,PF,DET,0,3000,0.0,0.03,0.0,0.0,0.0
Wendell Moore Jr.,SG/SF,DET,0,3000,0.0,0.03,0.0,0.0,0.0
Bobi Klintman,PF,DET,0,3000,0.0,0.03,0.0,0.0,0.0
Paul Reed,C,DET,0,3000,0.0,0.03,0.0,0.0,0.0
Ronald Holland II,SF/PF,DET,14,3000,10.98,0.0,5.99,10.69,14.7
Jaden Ivey,PG,DET,0,3000,0.0,0.03,0.0,0.0,0.0
Anthony Gill,C,WAS,0,3000,0.0,0.03,0.0,0.0,0.0
Monte Morris,PG,PHX,6,3000,5.19,0.0,3.41,4.25,0.0
TyTy Washington Jr.,PG,PHX,0,3000,0.0,0.03,0.0,0.0,0.0
Damion Lee,SG/SF,PHX,0,3000,0.0,0.03,0.0,0.0,0.0
Jalen Bridges,SF,PHX,0,3000,0.0,0.03,0.0,0.0,0.0
Bol Bol,PF/C,PHX,0,3000,0.0,0.03,0.0,0.0,0.0
Collin Gillespie,PG,PHX,0,3000,0.0,0.03,0.0,0.0,0.0
Jared Butler,PG,WAS,0,3000,0.0,0.03,0.0,0.0,0.0
Justin Champagnie,SF/PF,WAS,13,3000,11.6,0.0,6.41,11.49,14.2
Patrick Baldwin Jr.,PF,WAS,0,3000,0.0,0.03,0.0,0.0,0.0
Johnny Davis,SG/SF,WAS,0,3000,0.0,0.03,0.0,0.0,0.0
Richaun Holmes,C,WAS,0,3000,0.0,0.03,0.0,0.0,0.0
Tristan Vukcevic,C,WAS,0,3000,0.0,0.03,0.0,0.0,0.0
Marvin Bagley III,C,WAS,0,3000,0.0,0.03,0.0,0.0,0.0
Doug McDermott,SF/PF,SAC,0,3000,0.0,0.03,0.0,0.0,0.0
Landry Shamet,SG/SF,NYK,7,3000,4.23,0.0,2.56,3.82,0.0
Matt Ryan,SG/SF,NYK,0,3000,0.0,0.03,0.0,0.0,0.0
Jacob Toppin,PF,NYK,0,3000,0.0,0.03,0.0,0.0,0.0
Tyler Kolek,PG,NYK,0,3000,0.0,0.03,0.0,0.0,0.0
Ariel Hukporti,C,NYK,0,3000,0.0,0.03,0.0,0.0,0.0
Pacome Dadiet,SG/SF,NYK,0,3000,0.0,0.03,0.0,0.0,0.0
Kevin McCullar Jr.,SF,NYK,0,3000,0.0,0.03,0.0,0.0,0.0
Alex Len,C,SAC,6,3000,5.27,0.0,3.46,4.57,0.0
Colby Jones,SG/SF,SAC,0,3000,0.0,0.03,0.0,0.0,0.0
Isaiah Crawford,PF,SAC,0,3000,0.0,0.03,0.0,0.0,0.0
Jae Crowder,PF/C,SAC,0,3000,0.0,0.03,0.0,0.0,0.0
Mason Jones,SG,SAC,0,3000,0.0,0.03,0.0,0.0,0.0
Isaac Jones,PF/C,SAC,0,3000,0.0,0.03,0.0,0.0,0.0
Jordan McLaughlin,PG,SAC,0,3000,0.0,0.03,0.0,0.0,0.0
Devin Carter,PG/SG,SAC,4,3000,3.42,0.0,2.35,3.83,0.0
